plantId,slug,nomecien,imagemurl,cresc_forma,cresc_taxa,ph_max,ph_min,luz_solar,solo_nutrientes,solo_salinidade,solo_textura,solo_umidade,nome_pop
1,quercus-rotundifolia,Quercus rotundifolia,https://d2seqvvyy3b8p2.cloudfront.net/40ab8e7cdddbe3e78a581b84efa4e893.jpg,null,null,-1,-1,-1,-1,-1,-1,-1,Carvalho
2,urtica-dioica,Urtica dioica,https://bs.plantnet.org/image/o/9db58cbb3538a6b77384f972971d51869228e545,null,null,7,6.5,5,9,0,-1,-1,Urtiga
3,dactylis-glomerata,Dactylis glomerata,https://bs.plantnet.org/image/o/f84a7d4fc2e627ccd451f568479b1932c2b2d900,Bunch,Moderate,7.5,5.2,7,7,0,-1,-1,Aveia-malhada
4,plantago-lanceolata,Plantago lanceolata,https://bs.plantnet.org/image/o/f8d7d6fe52e36d04f5ad1fc03f46f604d5c3cc43,null,null,6.5,5.5,7,6,0,-1,-1,Tanchagem-maior
5,achillea-millefolium,Achillea millefolium,https://bs.plantnet.org/image/o/d788a757cd8bac8c3b1378a970c078a7a937a174,Rhizomatous,Moderate,8,6,8,4,1,-1,-1,Milefólio
6,trifolium-repens,Trifolium repens,https://bs.plantnet.org/image/o/170ca6a6020d9e9f95f86112577aeabcb23f5b96,Stoloniferous,Moderate,7,6,7,6,1,-1,-1,Trevo-branco
7,holcus-lanatus,Holcus lanatus,https://bs.plantnet.org/image/o/c0800816e2f56ed6e7702c31efd91afcdfddd68c,Multiple Stem,Moderate,7,4,7,6,1,-1,-1,Aveia-das-ervas-lanas
8,ranunculus-repens,Ranunculus repens,https://bs.plantnet.org/image/o/90746f2a4592ed4dbc6a166234f488654565605e,Stoloniferous,Rapid,7.2,5.6,5,7,1,-1,-1,Ranúnculo-repentino
9,quercus-robur,Quercus robur,https://bs.plantnet.org/image/o/0d16977470dfdcd37d495a5b33c2f343224ebe98,null,null,6.5,5.5,7,5,0,-1,-1,Carvalho-roble
10,festuca-rubra,Festuca rubra,https://bs.plantnet.org/image/o/fb1967942b880fb7c978ff76741d348a22611b88,Rhizomatous,Moderate,8,5,9,1,0,-1,-1,Festuca-vermelha
11,fraxinus-excelsior,Fraxinus excelsior,https://bs.plantnet.org/image/o/84ef20b0276c3e0a6d32dd97a7b987b510feb961,null,null,7.5,7,7,6,0,-1,-1,Freixo-comum
12,cirsium-arvense,Cirsium arvense,https://d2seqvvyy3b8p2.cloudfront.net/c7d6d18dfbd69cbf043001fb3204517c.jpg,null,null,-1,-1,-1,-1,-1,-1,-1,Cardo-dos-campos
13,trifolium-pratense,Trifolium pratense,https://bs.plantnet.org/image/o/3bb52539dcca8b6bf19b9bf752631def901ba64c,Single Crown,Rapid,7.6,6.5,7,6,0,-1,-1,Trevo-dos-prados
14,fagus-sylvatica,Fagus sylvatica,https://bs.plantnet.org/image/o/a733221df31a1ff99af03566841744f3b4c6cffe,null,null,5.5,5,7,5,0,-1,-1,Faia-comum
15,juncus-effusus,Juncus effusus,https://d2seqvvyy3b8p2.cloudfront.net/31545c7b5c65236a5d7f28ca040ee058.jpg,Bunch,Moderate,8.8,5.5,7,4,0,-1,-1,Junco
16,ranunculus-acris,Ranunculus acris,https://bs.plantnet.org/image/o/43c58aa2ef3d5a11ac1dd83d9b465e639338a3da,null,null,7,6.5,7,6,0,-1,-1,Ranúnculo-agreste
17,crataegus-monogyna,Crataegus monogyna,https://bs.plantnet.org/image/o/9a428f47e57e087f677d58967659592f8232c737,Single Stem,Slow,7.2,6,7,5,0,-1,-1,Espinheiro-alvar
18,rumex-acetosa,Rumex acetosa,https://bs.plantnet.org/image/o/b07ad83adb571370a40982de0ec45248871486d6,null,null,6.5,5.5,8,6,0,-1,-1,Azedas
19,calluna-vulgaris,Calluna vulgaris,https://d2seqvvyy3b8p2.cloudfront.net/04a6d1e14c82502b58222574e2a99cde.jpg,null,null,-1,-1,-1,-1,-1,-1,-1,Urze
20,filipendula-ulmaria,Filipendula ulmaria,https://bs.plantnet.org/image/o/53c73903dc455a3d734b193dad7d9d8c4ec0e324,null,null,6.5,5.5,7,6,0,-1,-1,Ulmeira
21,corylus-avellana,Corylus avellana,https://bs.plantnet.org/image/o/0d92cadb0d66dce1b0a8b26913125d6501e31d68,null,null,6.5,5.5,5,6,0,-1,-1,Avelãzeira
22,phragmites-australis,Phragmites australis,https://bs.plantnet.org/image/o/8a74932da925aea8224f7929bf701806abec0c84,Rhizomatous,Rapid,8.7,4.5,7,7,3,-1,-1,Caniço
